Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
SDN,20,729,729,Sudan,2,6631,6233,7054,6631,39.9,28.8,4.0
SUR,20,740,740,Suriname,2,158,20,1266,158,46.4,53.2,5.2
SWZ,20,748,748,Eswatini,2,106,72,155,106,26.2,17.7,2.8
SWE,20,752,752,Sweden,2,7452,7041,7887,7452,81.4,146.2,8.9
CHE,20,756,756,Switzerland,2,6642,5838,7556,6642,77.4,150.4,8.4
SYR,20,760,760,Syrian Arab Republic,2,4114,3347,5057,4114,46.2,42.5,5.0
TJK,20,762,762,Tajikistan,2,818,409,1636,818,19.5,16.6,2.0
THA,20,764,764,Thailand,2,21628,20982,22293,21628,37.4,60.0,4.0
TGO,20,768,768,Togo,2,973,828,1143,973,32.9,22.3,3.5
TTO,20,780,780,Trinidad and Tobago,2,570,289,1125,570,54.0,80.0,5.6
ARE,20,784,784,United Arab Emirates,2,1142,1022,1277,1142,57.1,36.3,6.4
TUN,20,788,788,Tunisia,2,2820,2636,3017,2820,36.2,46.5,3.7
TUR,20,792,792,Türkiye,2,25249,24621,25893,25249,46.8,58.3,4.9
TKM,20,795,795,Turkmenistan,2,1001,264,3791,1001,31.1,31.8,3.2
UGA,20,800,800,Uganda,2,2999,2778,3238,2999,23.3,12.2,2.5
UKR,20,804,804,Ukraine,2,18096,17176,19065,18096,43.1,78.1,4.9
MKD,20,807,807,North Macedonia,2,1096,750,1603,1096,65.3,105.3,7.0
EGY,20,818,818,Egypt,2,26845,25873,27854,26845,55.4,51.1,5.7
GBR,20,826,826,United Kingdom,2,58756,57408,60135,58756,94.0,169.7,10.1
TZA,20,834,834,"Tanzania, United Republic of",2,4502,4160,4872,4502,25.1,14.2,2.9
USA,20,840,840,United States of America,2,274375,271898,276875,274375,95.9,162.2,10.4
BFA,20,854,854,Burkina Faso,2,1372,1352,1392,1372,21.4,12.4,2.4
URY,20,858,858,Uruguay,2,2185,2026,2357,2185,75.1,121.0,8.1
UZB,20,860,860,Uzbekistan,2,5022,3947,6389,5022,27.8,29.2,3.0
VEN,20,862,862,Venezuela,2,8301,6501,10600,8301,47.1,55.8,5.1
WSM,20,882,882,Samoa,2,75,75,75,75,88.8,76.9,9.4
YEM,20,887,887,Yemen,2,2872,2661,3100,2872,25.4,18.6,2.5
ZMB,20,894,894,Zambia,2,1111,984,1255,1111,22.3,11.3,2.5
N.A.,20,900,900,World,2,2296840,2285641,2308093,2296840,46.8,58.7,5.1
N.A.,20,903,903,Africa,2,198553,196356,200774,198553,40.5,28.2,4.3
N.A.,20,904,904,Latin America and the Caribbean,2,220124,218440,221821,220124,52.0,65.1,5.6
N.A.,20,905,905,Northern America,2,306307,305083,307536,306307,95.1,162.5,10.3
N.A.,20,906,906,Eastern Asia,2,480019,478036,482010,480019,37.5,60.3,4.0
N.A.,20,908,908,Europe,2,557532,554385,560696,557532,75.6,144.3,8.1
N.A.,20,909,909,Oceania,2,28507,28057,28964,28507,91.5,130.5,9.9
N.A.,20,910,910,Eastern Africa,2,47300,45975,48663,47300,31.9,20.0,3.4
N.A.,20,911,911,Middle Africa,2,16856,16257,17477,16856,30.0,17.7,3.2
N.A.,20,912,912,Northern Africa,2,64977,63758,66220,64977,53.2,51.2,5.5
N.A.,20,913,913,Southern Africa,2,15815,15495,16142,15815,46.2,45.0,5.0
N.A.,20,914,914,Western Africa,2,53605,52646,54581,53605,41.6,25.5,4.5
N.A.,20,915,915,Caribbean,2,14862,14142,15618,14862,49.6,66.7,5.3
N.A.,20,916,916,Central America,2,39835,39140,40543,39835,38.3,42.5,4.1
N.A.,20,920,920,South-Eastern Asia,2,168536,166442,170656,168536,41.7,49.4,4.5
N.A.,20,921,921,South Central Asia,2,273902,272153,275662,273902,26.7,27.4,2.9
N.A.,20,922,922,Western Asia,2,63360,61976,64775,63360,45.4,46.1,4.8
N.A.,20,923,923,Eastern Europe,2,163474,161691,165276,163474,58.3,105.8,6.5
N.A.,20,924,924,Northern Europe,2,89324,88381,90277,89324,90.8,164.9,9.8
N.A.,20,925,925,Southern Europe,2,124621,121054,128293,124621,81.8,160.8,8.6
N.A.,20,926,926,Western Europe,2,180113,176593,183704,180113,89.8,180.0,9.5
N.A.,20,927,927,Australia-New Zealand,2,25786,25403,26174,25786,100.3,165.5,10.8
